"Equipment","Description","Status"
"26-1736","2010 Viking Flatbed Oilfield Trailer","inactive"
"26-1737","Skid Steer Power Rake","inactive"
"26-1738","Skid Steer Power Rake","inactive"
"26-1739","3 Arm Pulse Caliper","inactive"
"26-0821","Reflex Giro Kit","inactive"
"26-0826","Reflex Gyro Kit - Brazil","inactive"
"26-0835","2 Stage Hyd Pump 10,000 PSI","inactive"
"26-0836","2 Stage Hyd Pump 10,000 PSI","inactive"
"26-0838","Mud Pump? - No Info","inactive"
"26-0844","Bumper Jars 4.75 and 5.75? - No Info","inactive"
"26-0855","Barbco Guidance System","inactive"
"26-0856","Bin Insp System/Tr-light Light Hea","inactive"
"26-0857","Coastal Pluggin Fuel Tank #7","inactive"
"26-0858","Sub Structure Rig 237","inactive"
"26-0895","Cecor Electric Sumpcleaner","inactive"
"26-0898","Borehole Camera System","inactive"
"26-0900","Ideco 110 Shorty API Data Pack","inactive"
"26-0913","1000 GAL LD Skid Tank","inactive"
"26-0914","1000 GAL LD Skid Tank","inactive"
"26-1740","Street Sweeper - 4 Wheel","inactive"
"26-1741","Skid Steer Power Rake","inactive"
"26-1742","Skid Steer Power Rake","inactive"
"26-1743","Skid Steer Hedge Trimmer","inactive"
"26-1744","Skid Steer 40"" Tree Spade","inactive"
"26-1745","2012 Canrig Hydraulic Catwalk","inactive"
"26-1746","2011 Canrig PC 1000 Hyd Catwalk","inactive"
"26-1747","Q/A Rockhound Attachment","inactive"
"26-1800","NOV Bowen Super Jar","inactive"
"26-1801","NOV Bowen Intensifier","inactive"
"26-1804","Cuttings Tub #1 NAD Built","inactive"
"26-1805","Cuttings Tub #2 NAD Built","inactive"
"26-1806","Rausch Spinning Tool","inactive"
"26-1807","EVCO Power Swivel Trailer Mounted","inactive"
"26-0915","Doosan Puma 800L Saw","inactive"
"26-0931","300BBL Water Tank Rig 242","inactive"
"26-0932","300BBL Water Tank Rig 243","inactive"
"26-0936","2007 Tulsa Mud Pump","inactive"
"26-0939","30 KW Generator","inactive"
"26-0941","WP Super Jars X 6","inactive"
"26-0942","WP Intensifer Jars X 6","inactive"
"26-0943","CDE WS Sub Structure for 213","inactive"
"26-0944","300 bbl water tank","inactive"
"26-0945","300 bbl water tank","inactive"
